x,y,cw,cbh,ht,output,id
600,123.1,2.3,3.9,8.5,.TRUE.,TREE1
600,161.7,6.3,10.3,17.1,.TRUE.,TREE2
600,169.9,4,6,13.9,.TRUE.,TREE3
600,186.2,2.8,2,9.8,.TRUE.,TREE4
600,191,1.2,6.4,8.5,.TRUE.,TREE5
600,200.8,2.8,4.5,10.2,.TRUE.,TREE6
600,202.5,3,4.8,10.8,.TRUE.,TREE7
600,223.2,2.7,8,16.5,.TRUE.,TREE8
600,229.2,3.8,5.7,13.3,.TRUE.,TREE9
600,232.1,8.4,11.4,16.7,.TRUE.,TREE10
600,257.1,3.1,4.8,11,.TRUE.,TREE11
600,261.4,3.1,4.8,11,.TRUE.,TREE12
600,282.4,3.5,5.3,12.2,.TRUE.,TREE13
600.1,206.3,3.1,4.8,11,.TRUE.,TREE14
600.2,208.4,2.1,3.6,7.8,.TRUE.,TREE15
600.2,256.5,2.8,4.5,10.2,.TRUE.,TREE16
600.2,243.6,1.8,3.2,6.9,.TRUE.,TREE17
600.2,151,2.1,3.6,7.9,.TRUE.,TREE18
600.2,252,1,0.6,4.3,.TRUE.,TREE19
600.3,187.2,1,8.2,8.8,.TRUE.,TREE20
600.3,286.3,2.6,4.2,9.3,.TRUE.,TREE21
600.3,162.9,4.5,9.8,15.7,.TRUE.,TREE22
600.3,286.4,5.2,7.4,17.6,.TRUE.,TREE23
600.4,227.6,2.8,4.5,10.2,.TRUE.,TREE24
600.5,123.2,4.2,6.2,14.5,.TRUE.,TREE25
600.5,268,2.8,4.5,10.2,.TRUE.,TREE26
600.5,262.8,1.9,3.4,7.3,.TRUE.,TREE27
600.5,250.7,5.9,5.8,16.5,.TRUE.,TREE28
600.6,183.4,2.2,3.7,8.2,.TRUE.,TREE29
600.6,218.7,1.6,3.2,7.5,.TRUE.,TREE30
600.8,261.3,4.7,6.8,15.9,.TRUE.,TREE31
600.8,116.9,8,10.5,19.5,.TRUE.,TREE32
600.9,182.4,1.8,3.2,6.9,.TRUE.,TREE33
600.9,182.4,2.7,4.3,9.8,.TRUE.,TREE34
600.9,287,3,4.7,10.6,.TRUE.,TREE35
600.9,207.1,3.2,5,11.4,.TRUE.,TREE36
601,212.7,3.8,3.9,13,.TRUE.,TREE37
601,287.5,3.4,5.1,11.8,.TRUE.,TREE38
601,220,2.7,3.3,12.2,.TRUE.,TREE39
601,153.3,4.2,6.1,14.3,.TRUE.,TREE40
601.1,158.3,1.2,2.5,5,.TRUE.,TREE41
601.2,261.7,1,0.6,4.3,.TRUE.,TREE42
601.3,187.3,2.3,7.3,15.5,.TRUE.,TREE43
601.4,208.4,3.3,5.1,11.6,.TRUE.,TREE44
601.4,170.4,5.1,7.2,17.2,.TRUE.,TREE45
601.5,260.6,2.1,3.6,7.9,.TRUE.,TREE46
601.5,253.7,1.6,3,6.4,.TRUE.,TREE47
601.6,225.4,4.8,6.6,13,.TRUE.,TREE48
601.6,154.3,2.4,4,8.9,.TRUE.,TREE49
601.7,159.5,2.4,4,8.9,.TRUE.,TREE50
601.7,191.1,1.9,11.5,15,.TRUE.,TREE51
601.8,161.6,5,11.2,16.8,.TRUE.,TREE52
601.8,242.2,3.8,5.6,13.1,.TRUE.,TREE53
601.8,251.1,8.7,7.3,18.6,.TRUE.,TREE54
601.9,288.7,3.5,4.2,13.8,.TRUE.,TREE55
601.9,251,5.6,2.8,7.2,.TRUE.,TREE56
602,213.8,3.5,5.3,12.1,.TRUE.,TREE57
602,223.4,4.8,8.4,16.5,.TRUE.,TREE58
602,195.6,4.2,6.1,14.3,.TRUE.,TREE59
602.1,145.6,3.7,5.6,12.9,.TRUE.,TREE60
602.1,193.8,1.8,2,7.9,.TRUE.,TREE61
602.1,202.7,2.9,4.6,10.5,.TRUE.,TREE62
602.2,214,3.9,5.8,13.5,.TRUE.,TREE63
602.4,123.7,2.9,4.6,10.3,.TRUE.,TREE64
602.5,177.6,3,4.8,10.8,.TRUE.,TREE65
602.5,226.5,2,1.3,4.4,.TRUE.,TREE66
602.7,187.9,2.7,4.3,9.7,.TRUE.,TREE67
602.7,286.8,3.4,5.1,11.8,.TRUE.,TREE68
602.7,229.9,4.5,6.6,15.5,.TRUE.,TREE69
602.7,148.5,4.2,6.2,14.5,.TRUE.,TREE70
602.8,269.6,1,2.1,4,.TRUE.,TREE71
602.8,154,5.1,7.1,19,.TRUE.,TREE72
602.9,190.1,1.9,9.8,14.9,.TRUE.,TREE73
602.9,259.8,1.8,3.2,6.9,.TRUE.,TREE74
602.9,118.4,6.9,9.4,17.4,.TRUE.,TREE75
603,201.5,3.5,5.4,12.4,.TRUE.,TREE76
603,268.3,1,2,3.8,.TRUE.,TREE77
603.1,114.1,6.3,7.6,17.9,.TRUE.,TREE78
603.1,160.6,1.1,0.6,4.5,.TRUE.,TREE79
603.2,280.4,1.9,3.1,9.1,.TRUE.,TREE80
603.2,183.4,4,10.2,18.2,.TRUE.,TREE81
603.2,280.9,2.3,4.2,9.8,.TRUE.,TREE82
603.3,156.6,1,2.3,4.4,.TRUE.,TREE83
603.3,207.7,3.7,5.6,12.8,.TRUE.,TREE84
603.3,218.3,3.5,5.3,12.2,.TRUE.,TREE85
603.4,174.1,2.4,4,8.9,.TRUE.,TREE86
603.4,144.7,3.8,5.6,13.1,.TRUE.,TREE87
603.4,231.3,2.4,4,8.9,.TRUE.,TREE88
603.4,141.8,8.4,10.1,19.4,.TRUE.,TREE89
603.4,219.9,2.7,6.1,6.4,.TRUE.,TREE90
603.5,169.2,1,0.4,3.9,.TRUE.,TREE91
603.6,219.3,1.5,5.7,12.4,.TRUE.,TREE92
603.6,121.8,3.8,9,18,.TRUE.,TREE93
603.6,297.2,3.9,5.4,13.9,.TRUE.,TREE94
603.6,257.8,1.5,2.9,6,.TRUE.,TREE95
603.6,257.8,1,2.2,4.2,.TRUE.,TREE96
603.6,126.8,2.9,4.6,10.3,.TRUE.,TREE97
603.7,278.1,2.3,4.8,11.9,.TRUE.,TREE98
603.8,229.3,3.1,4.8,11,.TRUE.,TREE99
603.9,125.4,3.4,5.1,11.8,.TRUE.,TREE100
604,135.2,6.3,8.8,21.1,.TRUE.,TREE101
604,180.1,3.1,4.8,11,.TRUE.,TREE102
604,157.3,4.4,6.4,15.1,.TRUE.,TREE103
604.1,120.3,4.2,2.5,9.3,.TRUE.,TREE104
604.2,275.2,4.2,6.1,14.3,.TRUE.,TREE105
604.2,224.5,3.3,10.2,16.1,.TRUE.,TREE106
604.2,165.1,1.8,3.2,6.9,.TRUE.,TREE107
604.2,202.5,1.8,3.3,7,.TRUE.,TREE108
604.3,167.8,1.1,7.5,12.1,.TRUE.,TREE109
604.3,147.1,2.4,4,8.8,.TRUE.,TREE110
